source,agency,degree,university_name,ccaa,sector_hint,modality_hint,fetch_ts,url
acsucyl_live_probe,ACSUCYL,infantil,Universidad de Salamanca,Castilla y Leon,public,presencial,2026-04-27T10:08:09.570688+00:00,https://www.acsucyl.es/
acsucyl_live_probe,ACSUCYL,primaria,Universidad de Salamanca,Castilla y Leon,public,presencial,2026-04-27T10:08:09.570688+00:00,https://www.acsucyl.es/
acsucyl_live_probe,ACSUCYL,infantil,Universidad de Valladolid,Castilla y Leon,public,presencial,2026-04-27T10:08:09.570688+00:00,https://www.acsucyl.es/
acsucyl_live_probe,ACSUCYL,primaria,Universidad de Valladolid,Castilla y Leon,public,presencial,2026-04-27T10:08:09.570688+00:00,https://www.acsucyl.es/
acsucyl_live_probe,ACSUCYL,infantil,Universidad de Burgos,Castilla y Leon,public,presencial,2026-04-27T10:08:09.570688+00:00,https://www.acsucyl.es/
acsucyl_live_probe,ACSUCYL,primaria,Universidad de Burgos,Castilla y Leon,public,presencial,2026-04-27T10:08:09.570688+00:00,https://www.acsucyl.es/
acsucyl_live_probe,ACSUCYL,infantil,Universidad de Leon,Castilla y Leon,public,presencial,2026-04-27T10:08:09.570688+00:00,https://www.acsucyl.es/
acsucyl_live_probe,ACSUCYL,primaria,Universidad de Leon,Castilla y Leon,public,presencial,2026-04-27T10:08:09.570688+00:00,https://www.acsucyl.es/
acsucyl_live_probe,ACSUCYL,infantil,Universidad Pontificia de Salamanca,Castilla y Leon,public,presencial,2026-04-27T10:08:09.570688+00:00,https://www.acsucyl.es/
acsucyl_live_probe,ACSUCYL,primaria,Universidad Pontificia de Salamanca,Castilla y Leon,public,presencial,2026-04-27T10:08:09.570688+00:00,https://www.acsucyl.es/
acsucyl_live_probe,ACSUCYL,infantil,Universidad Catolica de Avila,Castilla y Leon,public,presencial,2026-04-27T10:08:09.570688+00:00,https://www.acsucyl.es/
acsucyl_live_probe,ACSUCYL,primaria,Universidad Catolica de Avila,Castilla y Leon,public,presencial,2026-04-27T10:08:09.570688+00:00,https://www.acsucyl.es/
acsucyl_live_probe,ACSUCYL,infantil,Universidad Isabel I,Castilla y Leon,public,presencial,2026-04-27T10:08:09.570688+00:00,https://www.acsucyl.es/
acsucyl_live_probe,ACSUCYL,primaria,Universidad Isabel I,Castilla y Leon,public,presencial,2026-04-27T10:08:09.570688+00:00,https://www.acsucyl.es/
